fld_a,fld_b,ks_stat,p,n_a,n_b
국방,국토및지역개발,0.579484425349087,4.2530370277952955e-09,98,38
국토및지역개발,통일·외교,0.5634674922600619,1.0228671805931703e-07,38,68
공공질서및안전,국토및지역개발,0.5345864661654135,2.1075494531087326e-08,140,38
국토및지역개발,문화및관광,0.4655388471177945,1.1428842280794691e-05,38,84
국토및지역개발,일반·지방행정,0.45854251012145747,4.928672706215821e-07,38,325
국방,산업·중소기업및에너지,0.44176458462172746,3.382877550581426e-09,98,99
국토및지역개발,통신,0.4298245614035088,0.0005908990063235543,38,45
산업·중소기업및에너지,통일·외교,0.42780748663101603,3.530838889625553e-07,99,68
과학기술,국토및지역개발,0.42492260061919507,0.00017506967250828593,68,38
교통및물류,국방,0.41827861579414377,7.762730236681774e-09,115,98
국토및지역개발,사회복지,0.4159356725146199,3.346620773244203e-05,38,144
공공질서및안전,산업·중소기업및에너지,0.39206349206349206,1.7151021943392182e-08,140,99
교육,국토및지역개발,0.3881578947368421,0.007194871214802357,32,38
국토및지역개발,보건,0.3750614854894245,0.000475592251346739,38,107
통일·외교,환경,0.36047345767575323,0.0016548655404294039,68,41
공공질서및안전,교통및물류,0.35993788819875777,8.483038238179243e-08,140,115
국방,환경,0.3551518168242907,0.0009048401583695587,98,41
국토및지역개발,농림수산,0.34210526315789475,0.0012719208747625182,38,152
교통및물류,통일·외교,0.32250639386189256,0.00018847259619172828,115,68
산업·중소기업및에너지,통신,0.3212121212121212,0.0024962847332464216,99,45
문화및관광,산업·중소기업및에너지,0.31493506493506496,0.00016701020032635686,84,99
농림수산,통일·외교,0.31462848297213625,0.00012547492887254915,152,68
산업·중소기업및에너지,일반·지방행정,0.3124786324786325,4.4978973107039096e-07,99,325
공공질서및안전,환경,0.3121951219512195,0.0029997059266938597,140,41
교육,국방,0.2927295918367347,0.024467064808925444,32,98
교통및물류,통신,0.28695652173913044,0.00748574970484552,115,45
교육,통일·외교,0.2849264705882353,0.04635019430206109,32,68
과학기술,산업·중소기업및에너지,0.2779263220439691,0.002986644193575686,68,99
국토및지역개발,환경,0.2772785622593068,0.07545350169746386,38,41
국방,농림수산,0.2752416756176155,0.00017425464812346748,98,152
국방,사회복지,0.27111678004535145,0.00027987451765207463,98,144
사회복지,산업·중소기업및에너지,0.2708333333333333,0.0002740030543167882,144,99
국방,통신,0.2702947845804989,0.017177197137084977,98,45
국방,문화및관광,0.2653061224489796,0.002705192340998651,98,84
교육,산업·중소기업및에너지,0.26136363636363635,0.05901935158477927,32,99
국방,보건,0.2605378600038146,0.0014586345828560491,98,107
통신,통일·외교,0.25980392156862747,0.04238533718350014,45,68
교통및물류,국토및지역개발,0.2583524027459954,0.034819363613300694,115,38
문화및관광,환경,0.25638792102206737,0.042024352549861685,84,41
보건,산업·중소기업및에너지,0.25526290946851693,0.0018657532675892044,107,99
공공질서및안전,교육,0.2526785714285714,0.05892044371698954,140,32
일반·지방행정,환경,0.24450281425891182,0.020944549997246008,325,41
보건,환경,0.2402552997492592,0.0530081016207718,107,41
과학기술,국방,0.24009603841536614,0.01568554956247874,68,98
문화및관광,통신,0.23809523809523808,0.05898558047118619,84,45
국방,통일·외교,0.23109243697478993,0.022304550861191715,98,68
교통및물류,일반·지방행정,0.22903010033444815,0.000211363414920752,115,325
국방,일반·지방행정,0.2284458398744113,0.0006119313106324309,98,325
교통및물류,문화및관광,0.22639751552795032,0.01116105980377265,115,84
교육,문화및관광,0.22470238095238096,0.16286553081114954,32,84
공공질서및안전,농림수산,0.2238721804511278,0.0010616639941768524,140,152
보건,통일·외교,0.22278724573941727,0.026092967473547963,107,68
통신,환경,0.22276422764227644,0.19769214503764604,45,41
과학기술,교통및물류,0.219693094629156,0.02656745663381852,68,115
교통및물류,사회복지,0.21811594202898552,0.003670433641068009,115,144
농림수산,산업·중소기업및에너지,0.21717171717171718,0.005696965741932222,152,99
사회복지,환경,0.2135840108401084,0.09271216358430928,144,41
교육,보건,0.2129088785046729,0.1831239715307204,32,107
교통및물류,보건,0.20772043884599756,0.013695594114162138,115,107
과학기술,통일·외교,0.20588235294117646,0.11208365545440253,68,68
교육,일반·지방행정,0.20528846153846153,0.14751777851350847,32,325
공공질서및안전,문화및관광,0.20476190476190476,0.021382816532322654,140,84
공공질서및안전,사회복지,0.20456349206349206,0.00426812849680405,140,144
사회복지,통일·외교,0.2042483660130719,0.03559993188287004,144,68
교통및물류,농림수산,0.2013157894736842,0.008177246683015213,115,152
공공질서및안전,보건,0.19372496662216288,0.017692039049912137,140,107
과학기술,환경,0.18866571018651362,0.2761052732941546,68,41
국토및지역개발,산업·중소기업및에너지,0.18740031897926634,0.24963185624651893,38,99
교육,사회복지,0.1840277777777778,0.30450102906121973,32,144
공공질서및안전,통신,0.18333333333333332,0.1763728965215358,140,45
교육,교통및물류,0.18206521739130435,0.3286999295825349,32,115
보건,통신,0.180269989615784,0.2211943803418946,107,45
일반·지방행정,통신,0.1788034188034188,0.14016785122501846,325,45
산업·중소기업및에너지,환경,0.17738359201773837,0.27900614569393206,99,41
교육,통신,0.17708333333333334,0.5251125438030755,32,45
교통및물류,환경,0.176033934252386,0.2674019765856451,115,41
공공질서및안전,과학기술,0.17142857142857143,0.1179604402955631,140,68
농림수산,문화및관광,0.17042606516290726,0.07488907280331897,152,84
농림수산,일반·지방행정,0.16969635627530363,0.004385516820305028,152,325
교육,환경,0.16844512195121952,0.6123888090637628,32,41
공공질서및안전,통일·외교,0.1676470588235294,0.13295336588817572,140,68
공공질서및안전,일반·지방행정,0.16538461538461538,0.008172579080725077,140,325
문화및관광,통일·외교,0.1645658263305322,0.2284063959647796,84,68
농림수산,환경,0.16030166880616176,0.33473414305727345,152,41
사회복지,통신,0.15833333333333333,0.32013286097319904,144,45
농림수산,통신,0.158187134502924,0.31120019859144316,152,45
농림수산,보건,0.15346778160354158,0.09119808173394327,152,107
과학기술,문화및관광,0.14985994397759103,0.3265938047909285,68,84
과학기술,통신,0.14967320261437908,0.5222696316915281,68,45
일반·지방행정,통일·외교,0.14493212669683259,0.16809692229611894,325,68
과학기술,보건,0.14307311709730622,0.3229536016714958,68,107
농림수산,사회복지,0.12938596491228072,0.15039822156057406,152,144
교통및물류,산업·중소기업및에너지,0.12692138779095302,0.32196483101591705,115,99
과학기술,농림수산,0.1153250773993808,0.5151292386345367,68,152
과학기술,일반·지방행정,0.11529411764705882,0.40820591206485063,68,325
문화및관광,보건,0.11448598130841121,0.5191612453824419,84,107
보건,일반·지방행정,0.11206326383896477,0.24153282909390064,107,325
문화및관광,사회복지,0.11011904761904762,0.5019451727022172,84,144
과학기술,교육,0.10845588235294118,0.9308528376484455,68,32
과학기술,사회복지,0.10334967320261437,0.660159420198974,68,144
공공질서및안전,국방,0.10204081632653061,0.5474561807314898,140,98
문화및관광,일반·지방행정,0.09018315018315018,0.6110237641807489,84,325
교육,농림수산,0.08388157894736842,0.9840747948340092,32,152
보건,사회복지,0.07041796469366562,0.8930568319743533,107,144
사회복지,일반·지방행정,0.060106837606837604,0.8363846278218745,144,325
